R2,RMSE,MAE,Pearson_r,Spearman_rho,Phenotype,Model,Fold
-0.5015356942248508,0.5400646128255313,0.5010413066962078,0.17148956523640382,0.25103950552320115,Phenotype_WheatHead,ResGS,1
-1.4537679716304037,0.48153740546394863,0.4401134177655062,0.4402511325031284,0.5477225575051661,Phenotype_WheatHead,ResGS,2
0.13756152485790252,0.8186003922075681,0.6075784785236058,0.5554391209402336,0.11952286093343936,Phenotype_WheatHead,ResGS,3
-1.3082872841062168,0.4633812950965148,0.4300792125763725,-0.0802171377478006,-0.03912303982179758,Phenotype_WheatHead,ResGS,4
-4.004114493115482,0.44665149880102395,0.4013912281455547,-0.2725335360032355,-0.25197631533948484,Phenotype_WheatHead,ResGS,5
0.14235720245613614,0.4236800853398618,0.3499628668464804,0.6250598262785181,0.5773502691896258,Phenotype_WheatHead,ResGS,6
0.08390602603796093,0.9081581753761422,0.699383053188187,0.3267233692158332,0.5182674893104818,Phenotype_WheatHead,ResGS,7
-0.2634154127225876,3.313015637135576,1.84285729494183,0.5868632979194817,0.8244377203267417,Phenotype_WheatHead,ResGS,8
-1.83994226821819,0.33648052472212514,0.26366493911302924,0.28634242912062374,0.37796447300922725,Phenotype_WheatHead,ResGS,9
0.1274615083788827,0.3045662950732955,0.2475390014481999,0.5096056074825462,0.5910967041703312,Phenotype_WheatHead,ResGS,10
-3.424639489657493,0.9270791987409708,0.49055688281087195,0.9215274292177048,0.18569533817705186,Phenotype_WheatHead,TabAttention,1
-1.1049040069164087,0.445994424124389,0.32565156750984187,0.13746640943341482,0.3195048252113469,Phenotype_WheatHead,TabAttention,2
-0.22956461088406854,0.9774252731066553,0.5148865591257991,0.0385555881265255,0.015003000900300108,Phenotype_WheatHead,TabAttention,3
-0.6429831761766067,0.3909400171163067,0.3408447105216216,0.26736178700766056,0.20865621238292043,Phenotype_WheatHead,TabAttention,4
-2.8227367894644275,0.39038432828769976,0.32262549279000025,-0.4145089325583683,-0.31686212526223895,Phenotype_WheatHead,TabAttention,5
0.5681334834767815,0.3006488834691676,0.15746629795695996,0.9003441334878293,0.6614378277661477,Phenotype_WheatHead,TabAttention,6
-1.0286595645830956,1.351437825122193,0.8684472929235258,-0.028890032427909454,0.2182178902359924,Phenotype_WheatHead,TabAttention,7
-0.2706660091343831,3.3225085456671817,1.802940482174034,0.43234466702543173,0.3636553272045291,Phenotype_WheatHead,TabAttention,8
-8.458369707303786,0.6140635508949628,0.428064725168893,-0.3276240572773453,-0.19011727515734336,Phenotype_WheatHead,TabAttention,9
0.008756729896476911,0.32462328543418467,0.2663629116463763,0.5236745211808745,0.6323360091124474,Phenotype_WheatHead,TabAttention,10
0.6560984301863488,0.4133106275342359,0.32129805284474694,0.862016305195562,0.8616965872065186,Phenotype_WheatStem,Ridge,1
0.7651275389969653,0.3529644350809891,0.2633640954168461,0.9251207875842978,0.8218224606706397,Phenotype_WheatStem,Ridge,2
0.7767231017438054,0.4069012291196712,0.3494078526075918,0.8971245622942196,0.8580986734247602,Phenotype_WheatStem,Ridge,3
0.4503129331149106,0.46990176897145536,0.3044548861714717,0.7925185340032131,0.7506799638749294,Phenotype_WheatStem,Ridge,4
0.635416148915739,0.31950505207835617,0.2564606554208876,0.8678451997835,0.5808178695515156,Phenotype_WheatStem,Ridge,5
0.8338539497080493,0.3044711504868967,0.22410568997207345,0.9404315066814958,0.8624886920341298,Phenotype_WheatStem,Ridge,6
0.5206147746947816,0.5151368154053322,0.51012310014006,0.7236474421160266,0.3952166664313755,Phenotype_WheatStem,Ridge,7
0.6484607101007823,0.6127483178609262,0.41698992891326764,0.876357307783369,0.7563225565351133,Phenotype_WheatStem,Ridge,8
0.733849660302385,0.36436338426777093,0.2400044963483781,0.8678529668263661,0.7826237921249264,Phenotype_WheatStem,Ridge,9
0.8679362343057604,0.28169214051864383,0.2574923967937451,0.9647367209849737,0.8539125638299666,Phenotype_WheatStem,Ridge,10
0.6915915421828511,0.39140163294878466,0.33913910462513036,0.8809166512000935,0.8946135105917714,Phenotype_WheatStem,SVR,1
0.4298456071504134,0.5499347154158727,0.4684267193035281,0.8339406394966061,0.8218224606706397,Phenotype_WheatStem,SVR,2
0.6402229736917986,0.5165160492102018,0.47464237304782997,0.8942353189771061,0.8946135105917714,Phenotype_WheatStem,SVR,3
0.3541204902589561,0.5093602780803278,0.44284279456892517,0.7655512897635033,0.7325886315065459,Phenotype_WheatStem,SVR,4
-1.9401467764702236,0.907326345595488,0.793746486345807,0.196501379235215,0.24743582965269675,Phenotype_WheatStem,SVR,5
0.5964359510053004,0.4745231152508224,0.3353548477774385,0.8286143573337041,0.8624886920341298,Phenotype_WheatStem,SVR,6
0.4195167123425658,0.566859104979521,0.5143153957679183,0.6974693886782203,0.3952166664313755,Phenotype_WheatStem,SVR,7
0.609132439574323,0.6461152716841269,0.4601415176543027,0.9183487206420745,0.8539125638299666,Phenotype_WheatStem,SVR,8
0.2156450260037014,0.6255003287740578,0.4444985694552215,0.5952159553002175,0.48319675695112596,Phenotype_WheatStem,SVR,9
0.8014017266772324,0.345438409775946,0.29468914528049556,0.9575391142100592,0.7075275528876865,Phenotype_WheatStem,SVR,10
0.1566034629728955,0.6472549793072999,0.5638708896998819,0.4387847935340372,0.4199206274206274,Phenotype_WheatStem,RandomForest,1
0.17011973322091734,0.6634720277688017,0.6184403683138311,0.644350916705585,0.8218224606706397,Phenotype_WheatStem,RandomForest,2
0.4178293785480047,0.6570406648892855,0.6007091059826232,0.7394700339812804,0.8033264176742436,Phenotype_WheatStem,RandomForest,3
0.10194946331746035,0.6006198882645841,0.5335859652921858,0.6179845201284255,0.4520227726316985,Phenotype_WheatStem,RandomForest,4
-0.9023913158665515,0.7298421531006787,0.6641649883142686,0.3958556225920836,0.4123930494211612,Phenotype_WheatStem,RandomForest,5
0.45597219788018095,0.5509493624123162,0.4984687409008901,0.7577927356814761,0.7863867486193535,Phenotype_WheatStem,RandomForest,6
-0.4053848162104745,0.8820189072546202,0.7485101004341559,0.2530278366721107,0.0,Phenotype_WheatStem,RandomForest,7
0.12855780258897298,0.9647493285638427,0.8581732677846005,0.6977698539588919,0.6099375455928333,Phenotype_WheatStem,RandomForest,8
0.07212619662764241,0.6803238113613551,0.624166102861417,0.3997859557617493,0.26497886671513365,Phenotype_WheatStem,RandomForest,9
0.22198651032234618,0.6837171208630796,0.6211979690391004,0.6529306555366858,0.7075275528876865,Phenotype_WheatStem,RandomForest,10
0.027207480038823117,0.695135718524354,0.5425086058726691,0.3435628838313273,0.2556038601690775,Phenotype_WheatStem,GBR,1
0.025755727265685313,0.718867466433601,0.5321022568267086,0.5529259333908201,0.6138914766455381,Phenotype_WheatStem,GBR,2
